`,19.0,19.5,6,6,32,33
1,52.5,19.5,39,6,66,33
2,83.5,19.5,70,6,97,33
3,115.0,19.0,101,5,129,33
4,147.0,19.5,134,6,160,33
5,179.0,19.0,166,5,192,33
6,210.0,19.0,198,6,222,32
7,241.0,18.5,229,5,253,32
8,271.5,19.5,259,7,284,32
9,302.5,20.5,289,8,316,33
0,337.0,19.5,324,6,350,33
-,368.0,19.0,356,6,380,32
=,398.0,19.5,385,8,411,31
backspace,444.5,19.0,418,7,471,31
tab,27.0,50.5,7,38,47,63
q,67.0,51.0,55,39,79,63
w,99.5,51.0,86,39,113,63
e,131.5,51.0,120,39,143,63
r,162.5,50.0,151,37,174,63
t,194.0,51.0,183,40,205,62
y,227.0,51.5,215,39,239,64
u,257.0,51.0,245,39,269,63
i,289.5,51.0,278,39,301,63
o,321.0,52.0,310,40,332,64
p,351.0,52.0,340,41,362,63
[,384.5,51.5,373,40,396,63
],415.5,50.5,403,39,428,62
enter,456.5,68.0,440,39,473,97
caps lock,30.5,83.0,5,71,56,95
a,74.5,83.5,61,71,88,96
s,107.0,82.5,93,70,121,95
d,140.0,83.0,128,69,152,97
f,171.5,82.5,159,70,184,95
g,202.5,82.0,190,69,215,95
h,233.5,82.0,221,70,246,94
j,264.5,82.5,252,69,277,96
k,296.0,81.5,284,69,308,94
l,328.0,81.5,316,70,340,93
;,358.5,82.5,346,70,371,95
',391.5,82.0,379,69,404,95
\,423.5,82.5,411,69,436,96
shift,39.0,115.0,8,103,70,127
z,91.0,115.5,78,103,104,128
x,121.5,114.0,108,101,135,127
c,154.5,115.0,141,103,168,127
v,187.5,115.5,175,103,200,128
b,219.0,114.5,208,103,230,126
n,249.5,113.0,237,101,262,125
m,282.0,113.5,271,101,293,126
",",314.0,113.5,302,101,326,126
.,344.0,114.5,331,101,357,128
/,377.0,113.5,364,100,390,127
right shift,434.5,114.0,396,101,473,127
